NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
United States,331449281,331501080,331893745
Northeast Region,57609148,57525633,57159838
Midwest Region,68985454,68935174,68841444
South Region,126266107,126409007,127225329
West Region,78588572,78631266,78667134
Alabama,5024279,5024803,5039877
Alaska,733391,732441,732673
Arizona,7151502,7177986,7276316
Arkansas,3011524,3012232,3025891
California,39538223,39499738,39237836
Colorado,5773714,5784308,5812069
Connecticut,3605944,3600260,3605597
Delaware,989948,991886,1003384
Florida,21538187,21569932,21781128
Georgia,10711908,10725800,10799566
Hawaii,1455271,1451911,1441553
Idaho,1839106,1847772,1900923
Illinois,12812508,12785245,12671469
Indiana,6785528,6785644,6805985
Iowa,3190369,3188669,3193079
Kansas,2937880,2935880,2934582
Kentucky,4505836,4503958,4509394
Louisiana,4657757,4651203,4624047
Maine,1362359,1362280,1372247
Maryland,6177224,6172679,6165129
Massachusetts,7029917,7022220,6984723
Michigan,10077331,10067664,10050811
Minnesota,5706494,5707165,5707390
Mississippi,2961279,2956870,2949965
Missouri,6154913,6154481,6168187
Montana,1084225,1086193,1104271
Nebraska,1961504,1961455,1963692
Nevada,3104614,3114071,3143991
New Hampshire,1377529,1377848,1388992
New Jersey,9288994,9279743,9267130
New Mexico,2117522,2117566,2115877
New York,20201249,20154933,19835913
North Carolina,10439388,10457177,10551162
North Dakota,779094,778962,774948
Ohio,11799448,11790587,11780017
Oklahoma,3959353,3962031,3986639
Oregon,4237256,4241544,4246155
Pennsylvania,13002700,12989625,12964056
Rhode Island,1097379,1096229,1095610
South Carolina,5118425,5130729,5190705
South Dakota,886667,887099,895376
Tennessee,6910840,6920119,6975218
Texas,29145505,29217653,29527941
Utah,3271616,3281684,3337975
Vermont,643077,642495,645570
Virginia,8631393,8632044,8642274
Washington,7705281,7718785,7738692
West Virginia,1793716,1789798,1782959
Wisconsin,5893718,5892323,5895908
Wyoming,576851,577267,578803
